test_id,image_name,query,expected_result,actual_result,status,response_time_seconds,notes
T001,annualcrop_01.jpg,What type of land-cover class does this image represent?,AnnualCrop,"[MOCK AI ANSWER] Based on the image, here's a placeholder answer to: 'What type of land-cover class does this image represent?'",FAIL,0.014,Expected class not found in backend AI answer.
T002,annualcrop_02.jpg,Which EuroSAT land-use category best matches this image?,AnnualCrop,"[MOCK AI ANSWER] Based on the image, here's a placeholder answer to: 'Which EuroSAT land-use category best matches this image?'",FAIL,0.007,Expected class not found in backend AI answer.
T003,forest_01.jpg,What type of land-cover class does this image represent?,Forest,"[MOCK AI ANSWER] Based on the image, here's a placeholder answer to: 'What type of land-cover class does this image represent?'",FAIL,0.012,Expected class not found in backend AI answer.
T004,forest_02.jpg,Which EuroSAT category best matches the scene?,Forest,"[MOCK AI ANSWER] Based on the image, here's a placeholder answer to: 'Which EuroSAT category best matches the scene?'",FAIL,0.017,Expected class not found in backend AI answer.
T005,herbaceousvegetation_01.jpg,What type of vegetation/land-cover class does this image represent?,HerbaceousVegetation,"[MOCK AI ANSWER] Based on the image, here's a placeholder answer to: 'What type of vegetation/land-cover class does this image represent?'",FAIL,0.018,Expected class not found in backend AI answer.
T006,herbaceousvegetation_02.jpg,Which EuroSAT category best matches this image?,HerbaceousVegetation,"[MOCK AI ANSWER] Based on the image, here's a placeholder answer to: 'Which EuroSAT category best matches this image?'",FAIL,0.014,Expected class not found in backend AI answer.
T007,highway_01.jpg,What type of land-use class does this image represent?,Highway,"[MOCK AI ANSWER] Based on the image, here's a placeholder answer to: 'What type of land-use class does this image represent?'",FAIL,0.007,Expected class not found in backend AI answer.
T008,highway_02.jpg,Which EuroSAT category best matches the scene?,Highway,"[MOCK AI ANSWER] Based on the image, here's a placeholder answer to: 'Which EuroSAT category best matches the scene?'",FAIL,0.006,Expected class not found in backend AI answer.
T009,industrial_01.jpg,What type of built-environment class does this image represent?,Industrial,"[MOCK AI ANSWER] Based on the image, here's a placeholder answer to: 'What type of built-environment class does this image represent?'",FAIL,0.008,Expected class not found in backend AI answer.
T010,industrial_02.jpg,Which EuroSAT land-use category best matches this image?,Industrial,"[MOCK AI ANSWER] Based on the image, here's a placeholder answer to: 'Which EuroSAT land-use category best matches this image?'",FAIL,0.005,Expected class not found in backend AI answer.
T011,pasture_01.jpg,What type of land-cover class does this image represent?,Pasture,"[MOCK AI ANSWER] Based on the image, here's a placeholder answer to: 'What type of land-cover class does this image represent?'",FAIL,0.004,Expected class not found in backend AI answer.
T012,pasture_02.jpg,Which EuroSAT category best matches this scene?,Pasture,"[MOCK AI ANSWER] Based on the image, here's a placeholder answer to: 'Which EuroSAT category best matches this scene?'",FAIL,0.004,Expected class not found in backend AI answer.
T013,permanentcrop_01.jpg,What type of agricultural land-cover class does this image represent?,PermanentCrop,"[MOCK AI ANSWER] Based on the image, here's a placeholder answer to: 'What type of agricultural land-cover class does this image represent?'",FAIL,0.003,Expected class not found in backend AI answer.
T014,permanentcrop_02.jpg,Which EuroSAT category best matches this image?,PermanentCrop,"[MOCK AI ANSWER] Based on the image, here's a placeholder answer to: 'Which EuroSAT category best matches this image?'",FAIL,0.01,Expected class not found in backend AI answer.
T015,residential_01.jpg,What type of built-up land-use class does this image represent?,Residential,"[MOCK AI ANSWER] Based on the image, here's a placeholder answer to: 'What type of built-up land-use class does this image represent?'",FAIL,0.011,Expected class not found in backend AI answer.
T016,residential_02.jpg,Which EuroSAT category best matches the scene?,Residential,"[MOCK AI ANSWER] Based on the image, here's a placeholder answer to: 'Which EuroSAT category best matches the scene?'",FAIL,0.009,Expected class not found in backend AI answer.
T017,river_01.jpg,What type of water-related land-cover class does this image represent?,River,"[MOCK AI ANSWER] Based on the image, here's a placeholder answer to: 'What type of water-related land-cover class does this image represent?'",FAIL,0.008,Expected class not found in backend AI answer.
T018,river_02.jpg,Which EuroSAT category best matches this image?,River,"[MOCK AI ANSWER] Based on the image, here's a placeholder answer to: 'Which EuroSAT category best matches this image?'",FAIL,0.009,Expected class not found in backend AI answer.
T019,sealake_01.jpg,What type of water-related land-cover class does this image represent?,SeaLake,"[MOCK AI ANSWER] Based on the image, here's a placeholder answer to: 'What type of water-related land-cover class does this image represent?'",FAIL,0.007,Expected class not found in backend AI answer.
T020,sealake_02.jpg,Which EuroSAT category best matches this image?,SeaLake,"[MOCK AI ANSWER] Based on the image, here's a placeholder answer to: 'Which EuroSAT category best matches this image?'",FAIL,0.008,Expected class not found in backend AI answer.
